name	slug	peak_live	max_reuse	median_reuse
naive_matmul(n=16)	naive_matmul_n_16	512	512	25
tiled_matmul(n=16)	tiled_matmul_n_16	500	512	10
tiled_matmul_explicit(n=16,T=4)	tiled_matmul_explicit_n_16_t_4	609	576	10
rmm(n=16)	rmm_n_16	554	522	9
naive_strassen(n=16)	naive_strassen_n_16	937	768	10
fused_strassen(n=16)	fused_strassen_n_16	937	768	10
naive_attn(N=32,d=2)	naive_attn_n_32_d_2	1060	1059	4
flash_attn(N=32,d=2,Bk=8)	flash_attn_n_32_d_2_bk_8	206	192	4
matvec_row(n=64)	matvec_row_n_64	128	4160	33
matvec_col(n=64)	matvec_col_n_64	66	4160	49
matvec_blocked(n=64,B=4)	matvec_blocked_n_64_b_4	129	4160	5
fft_iterative(N=256)	fft_iterative_n_256	257	256	3
fft_recursive(N=256)	fft_recursive_n_256	257	256	3
stencil_naive(32x32)	stencil_naive_32x32	930	1023	3
stencil_recursive(32x32,leaf=8)	stencil_recursive_32x32_leaf_8	908	1023	5
spatial_conv(32x32,K=5)	spatial_conv_32x32_k_5	913	1049	46
regular_conv(16x16,K=3,Cin=4,Cout=4)	regular_conv_16x16_k_3_cin_4_cout_4	1016	1168	66
fft_conv(N=256)	fft_conv_n_256	513	512	3
quicksort(N=64)	quicksort_n_64	64	64	4
heapsort(N=64)	heapsort_n_64	64	64	7
mergesort(N=64)	mergesort_n_64	65	65	3
lcs_dp(32x32)	lcs_dp_32x32	97	96	2
lu_no_pivot(n=32)	lu_no_pivot_n_32	1025	1024	30
blocked_lu(n=32,NB=8)	blocked_lu_n_32_nb_8	1025	1024	14
recursive_lu(n=32)	recursive_lu_n_32	1025	1024	16
lu_partial_pivot(n=32)	lu_partial_pivot_n_32	1025	1024	32
cholesky(n=32)	cholesky_n_32	529	1024	13
householder_qr(32x32)	householder_qr_32x32	1026	1024	21
blocked_qr(32x32,NB=8)	blocked_qr_32x32_nb_8	1033	1024	26
tsqr(64x16,br=8)	tsqr_64x16_br_8	1026	1024	7
transpose_naive(n=32)	transpose_naive_n_32	1024	1024	513
transpose_blocked(n=32)	transpose_blocked_n_32	1024	1024	492
transpose_recursive(n=32)	transpose_recursive_n_32	1024	1024	513
stencil_time_naive(16x16,T=4)	stencil_time_naive_16x16_t_4	312	312	23
stencil_time_diamond(16x16,T=4)	stencil_time_diamond_16x16_t_4	424	383	15
floyd_warshall_naive(V=16)	floyd_warshall_naive_v_16	257	256	3
floyd_warshall_recursive(V=16)	floyd_warshall_recursive_v_16	257	256	3
layernorm_unfused(N=256)	layernorm_unfused_n_256	260	258	3
layernorm_fused(N=256)	layernorm_fused_n_256	260	258	3
matrix_powers_naive(n=16,s=4)	matrix_powers_naive_n_16_s_4	288	287	18
matrix_powers_ca(n=16,s=4)	matrix_powers_ca_n_16_s_4	288	287	18
cholesky_left_looking(n=32)	cholesky_left_looking_n_32	1025	1024	20
spmv_csr_banded(n=32,bw=3)	spmv_csr_banded_n_32_bw_3	214	213	3
spmv_csr_random(n=32,nnz=7)	spmv_csr_random_n_32_nnz_7	226	226	3
bitonic_sort(N=64)	bitonic_sort_n_64	64	64	32
